タイトル,所在地,緯度,経度,写真1,写真2,写真3,写真4,写真5,写真6,写真7,写真8,写真9,写真10,連絡先,分類,災害種別,備考
白村集会所,貞光字白村２４５番地３,34.031732,134.076317,,,,,,,,,,,　　－,指定緊急避難所（法指定）,"洪水,崖崩れ等,大規模な火事,内水反乱",
柴内小学校,貞光字柴内３２８番地２,34.033132,134.080658,,,,,,,,,,,　　－,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
太田中央集会所,貞光字太田東３８２番地２,34.049962,134.088623,,,,,,,,,,,　　－,指定緊急避難所（法指定）,"洪水,崖崩れ等,大規模な火事,内水反乱",
太田小学校,貞光字太田西１０７番地,34.044543,134.080029,,,,,,,,,,,0883-62-2024,指定緊急避難所（法指定）,"崖崩れ等,地震,大規模な火事",
太田公民館,貞光字太田西１３１番地１,34.04421,134.080238,,,,,,,,,,,0883-62-3029,指定緊急避難所（法指定）,"崖崩れ等,地震,大規模な火事",
江ノ脇集会所,貞光字江の脇２０４番地,34.042792,134.069276,,,,,,,,,,,　　－,指定緊急避難所（法指定）,"洪水,崖崩れ等,大規模な火事,内水反乱",
川東集会所,貞光字岡４２５番地３,34.031483,134.065626,,,,,,,,,,,　　－,指定緊急避難所（法指定）,"洪水,崖崩れ等,大規模な火事,内水反乱",
木綿麻会館,貞光字岡８２番地,34.022324,134.065701,,,,,,,,,,,　　－,指定緊急避難所（法指定）,"洪水,崖崩れ等,大規模な火事",
大坊集会所,貞光字大坊１１４番地４,34.030829,134.059306,,,,,,,,,,,　　－,指定緊急避難所（法指定）,"洪水,崖崩れ等,大規模な火事,内水反乱",
貞光小学校・体育館,貞光字野口８７番地,34.037075,134.059757,,,,,,,,,,,0883-62-2039,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
貞光幼稚園,貞光字野口６６番地,34.035653,134.060444,,,,,,,,,,,0883-62-2538,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
貞光老人福祉センター,貞光字西山１５２番地２,34.035537,134.059831,,,,,,,,,,,　　　　,指定緊急避難所（法指定）,"洪水,崖崩れ等,大規模な火事,内水反乱",
貞光中央公民館,貞光字西山１５２番地２,34.035791,134.059634,,,,,,,,,,,0883-62-2074,指定緊急避難所（法指定）,"洪水,崖崩れ等,大規模な火事,内水反乱",
貞光保健センター,貞光字中須賀６８番地１,34.040365,134.065164,,,,,,,,,,,0883-62-3313,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
貞光中学校体育館,貞光字中須賀５２番地,34.037538,134.064564,,,,,,,,,,,0883-62-2104,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
東浦集会所,貞光字東浦５７番地,34.034727,134.064368,,,,,,,,,,,　　－,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
貞光農業構造改善センター,貞光字東浦１番地３,34.036982,134.06405,,,,,,,,,,,0883-62-3111,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
テクノスクール,貞光字東浦１２８番地４,34.032114,134.06378,,,,,,,,,,,0883-62-3067,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
コミュニティーセンター八幡会館,貞光字前田４５－１,34.030794,134.063056,,,,,,,,,,,　　－,指定緊急避難所（法指定）,"洪水,崖崩れ等,大規模な火事,内水反乱",
まちなみ交流館,貞光字町６８番地,34.035364,134.06253,,,,,,,,,,,　　－,指定緊急避難所（法指定）,"洪水,地震,大規模な火事,内水反乱",
つるぎ高校,貞光字馬出８０番地６,34.041058,134.056871,,,,,,,,,,,0883-62-3135,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
就業改善センター,貞光字宮下６１番地,34.038276,134.062131,,,,,,,,,,,0883-62-2331,指定緊急避難所（法指定）,"崖崩れ等,大規模な火事",
貞光ゆうゆう館,貞光字大須賀１１番地１,34.042632,134.060057,,,,,,,,,,,0883-62-5000,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
貞光中学校,貞光字中須賀５２番地,34.037591,134.064885,,,,,,,,,,,0883-62-2104,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
上板町南老人集会所,上板町高瀬字宮ノ本２５０－１,34.101342,134.415342,,,,,,,,,,,088-694-6810,指定緊急避難所（法定外）,"崖崩れ等,地震,内水反乱",
高志幼稚園,上板町高瀬字天目一１１０８,34.10404,134.419176,,,,,,,,,,,088-694-2815,指定緊急避難所（法定外）,"崖崩れ等,地震,内水反乱",
上板町西老人集会所,上板町引野字東原４９－１,34.12434,134.399739,,,,,,,,,,,088-694-6810,指定緊急避難所（法定外）,"洪水,崖崩れ等,地震,内水反乱",
上板町技の館,上板町泉谷字原東３２－４,34.131953,134.397289,,,,,,,,,,,088-637-6555,指定緊急避難所（法定外）,"洪水,崖崩れ等,地震,内水反乱",
松島幼稚園,上板町鍛冶屋原字北原２０,34.120595,134.399567,,,,,,,,,,,088-694-2004,指定緊急避難所（法定外）,"洪水,崖崩れ等,地震,内水反乱",
老人福祉センター,上板町西分字橋西１－１１,34.119205,134.417856,,,,,,,,,,,088-694-6155,指定緊急避難所（法定外）,,
上板町西分老人集会所,上板町西分字西ツメノ２４,34.113828,134.428271,,,,,,,,,,,088-694-6810,指定緊急避難所（法定外）,地震,
上板町東老人集会所,上板町神宅字北屋敷３２－２,34.13092,134.415203,,,,,,,,,,,088-694-6810,指定緊急避難所（法定外）,"洪水,崖崩れ等,地震,内水反乱",
さくら保育所,上板町西分日吉前２０－１,34.120467,134.417653,,,,,,,,,,,088-694-8180,指定緊急避難所（法定外）,"洪水,崖崩れ等,地震,内水反乱",
東光幼稚園,上板町西分字東光8,34.117134,134.42846,,,,,,,,,,,088-694-2068,指定緊急避難所（法定外）,"崖崩れ等,地震,内水反乱",
神宅幼稚園,上板町神宅字喜来１３５,34.133801,134.413994,,,,,,,,,,,088-694-2041,指定緊急避難所（法定外）,"洪水,崖崩れ等,地震,内水反乱",
高志小学校（体育館）,板野郡上板町高瀬１１０８,34.104267,134.419028,,,,,,,,,,,088-694-2815,指定緊急避難所（法指定）,"崖崩れ等,地震,内水反乱",
松島小学校（体育館）,板野郡上板町鍛冶屋原字北原２０,34.120896,134.399191,,,,,,,,,,,088-694-2004,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
東光小学校（体育館）,板野郡上板町西分字東光８,34.117783,134.428765,,,,,,,,,,,088-694-2068,指定緊急避難所（法指定）,"崖崩れ等,地震,内水反乱",
神宅小学校（体育館）,板野郡上板町神宅字喜来１３５,34.134511,134.415128,,,,,,,,,,,088-694-2041,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
上板町農村環境改善センター,板野郡上板町七條字経塚４２,34.121424,134.405824,,,,,,,,,,,088-694-6816,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
上板町役場（中央公民館）,板野郡上板町七條字経塚４２,34.121384,134.404823,,,,,,,,,,,088-694-3111,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
上板町馬道会館,板野郡上板町西分字原渕１８－２,34.125119,134.426941,,,,,,,,,,,088-694-4868,指定緊急避難所（法指定）,"崖崩れ等,地震,内水反乱",
上板町文化センター第１分館,板野郡上板町西分字滝ノ宮西２６－１,34.130727,134.422392,,,,,,,,,,,088-694-3020,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
上板中学校（体育館）,板野郡上板町神宅字西金屋４４,34.125178,134.410668,,,,,,,,,,,088-694-2035,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
板野高校体育館,板野町川端字関ノ本47,34.14094244,134.4701695,,,,,,,,,,,088-672-1101,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
板野わかば保育園遊戯室,板野町大寺字郡頭27-2,34.1398934,134.4607387,,,,,,,,,,,088-672-3500,指定緊急避難所（法指定）,"洪水,崖崩れ等,大規模な火事,内水反乱",
板野保育園管理棟,板野町大寺字岡ノ前20,34.13993031,134.4598854,,,,,,,,,,,088-672-2101,指定緊急避難所（法指定）,"洪水,崖崩れ等,大規模な火事,内水反乱",
板野町町民ふれあいプラザ,板野町那東字大道下10,34.136679,134.439576,,,,,,,,,,,088-672－0311,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
板野町町民センター,板野町大寺字亀山西169-5,34.144068,134.462685,,,,,,,,,,,088-672－0051,指定緊急避難所（法指定）,"洪水,崖崩れ等,大規模な火事,内水反乱",
穂波園指定通所介護事業所,板野町吹田字西山68-10,34.145798,134.455536,,,,,,,,,,,088-672-5577,指定緊急避難所（法指定）,"洪水,地震,大規模な火事,内水反乱",
文化の館,板野町犬伏字東谷13-1,34.145131,134.453352,,,,,,,,,,,088-672－5888,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
板野町体育センター,板野町吹田字間谷14－1,34.147284,134.455493,,,,,,,,,,,,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
健康の館(板野町田園パーク),板野町犬伏字大柳1,34.139218,134.45599,,,,,,,,,,,088-672－3333,指定緊急避難所（法指定）,"崖崩れ等,地震,大規模な火事",
郡頭教育集会所,板野町大寺字王子33,34.14134,134.463161,,,,,,,,,,,,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
川端教育集会所,板野町川端字権現1－1,34.151184,134.480335,,,,,,,,,,,,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
南公民館,板野町下庄字栖養46-2,34.12475565,134.4570118,,,,,,,,,,,088-672－2049,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
中央公民館,板野町大寺字亀山西190-1,34.144576,134.462538,,,,,,,,,,,088-672－0136,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
板野中学校体育館・武道館,板野町大寺字郡頭1-1,34.140681,134.461292,,,,,,,,,,,088-672－0079,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
板野南小学校体育館,板野町下庄栖養38-3,34.123949,134.456239,,,,,,,,,,,088-672－0102,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
板野西小学校体育館,板野町那東字泉ノ西4-9,34.135945,134.438048,,,,,,,,,,,088-672－0309,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
板野東小学校体育館,板野町吹田字町東2-1,34.147112,134.46458,,,,,,,,,,,088-672－0026,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
板野東小学校・幼稚園大坂分校体育館,板野町大坂字宮東20,34.17788,134.448189,,,,,,,,,,,088-672－4703,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
川端老人ルーム,板野町川端字原田33－1,34.148386,134.482117,,,,,,,,,,,,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
板野町総合センター,板野町大寺字岡ノ前33－1,34.14033,134.459154,,,,,,,,,,,088-672－3661,指定緊急避難所（法指定）,"崖崩れ等,地震",
板野町南公会堂,板野町下庄字神木59－1,34.123044,134.448837,,,,,,,,,,,088-672－2011,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
板野町東公会堂,板野町大寺字亀山西31－1,34.145233,134.464667,,,,,,,,,,,088-672－2016,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
日出家老人憩の家,板野町西中富字宮ノ本28－7,34.119119,134.464507,,,,,,,,,,,,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
西中富老人憩の家,板野町西中富字雁ケ坪35,34.126329,134.46505,,,,,,,,,,,,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
下庄老人憩の家,板野町下庄字栖養14－1,34.12364,134.453377,,,,,,,,,,,,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
中久保老人憩の家,板野町中久保字当部65－1,34.116285,134.442575,,,,,,,,,,,,指定緊急避難所（法指定）,崖崩れ等,
唐園老人憩の家,板野町唐園字香殿北20,34.127465,134.44645,,,,,,,,,,,,指定緊急避難所（法指定）,崖崩れ等,
古城老人憩の家,板野町古城字南屋敷44－1,34.131829,134.449768,,,,,,,,,,,,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
矢武老人憩の家,板野町矢武字鏡松3,34.125519,134.435618,,,,,,,,,,,,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
黒谷老人憩の家,板野町黒谷字東原24－3,34.141225,134.431346,,,,,,,,,,,,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
羅漢老人憩の家,板野町羅漢字吉田15－2,34.134143,134.43286,,,,,,,,,,,,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
那東老人憩の家,板野町那東字道ブチ22－1,34.13821,134.438156,,,,,,,,,,,,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
犬伏老人憩の家,板野町犬伏字平山83,34.142459,134.450622,,,,,,,,,,,,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
新田老人憩の家,板野町川端字中手崎52－9,34.136589,134.471705,,,,,,,,,,,,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
岡ノ宮老人憩の家,板野町大寺字岡ノ前138－3,34.141913,134.459423,,,,,,,,,,,,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
高樹老人憩の家,板野町大寺字高樹14－6,34.130219,134.462543,,,,,,,,,,,,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
大寺老人憩の家,板野町大寺字平井 75－1,34.142464,134.467054,,,,,,,,,,,,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
川端老人憩の家（川端コミュニティセンター）,板野町川端字宮ノ西17－2,34.148751,134.478689,,,,,,,,,,,,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
吹田老人憩の家,板野町吹田字神木3－3,34.148484,134.460833,,,,,,,,,,,,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
福祉ホームリズム,藍住町矢上字安任56-5,34.13929064,134.5026987,,,,,,,,,,,088-692-6699,指定緊急避難所（法定外）,"洪水,地震,津波,大規模な火事,内水反乱",
藍住町町民体育館,藍住町奥野字矢上前18-1,34.12595963,134.4961243,,,,,,,,,,,088-692-1115,指定緊急避難所（法指定）,"洪水,地震,津波,内水反乱",
藍住西小学校,藍住町富吉字豊吉55-1,34.13527356,134.4848005,,,,,,,,,,,088-692-2436,指定緊急避難所（法指定）,"洪水,地震,津波,大規模な火事,内水反乱",
藍住南小学校,藍住町奥野字和田95,34.121489,134.490962,,,,,,,,,,,088-692-2238,指定緊急避難所（法指定）,"洪水,地震,津波,大規模な火事,内水反乱",
藍住北小学校,藍住町住吉字乾1,34.13270432,134.5062194,,,,,,,,,,,088-692-2315,指定緊急避難所（法指定）,"洪水,地震,津波,大規模な火事,内水反乱",
藍住東小学校,藍住町勝瑞字成長155-1,34.12709913,134.5166781,,,,,,,,,,,088-641-2222,指定緊急避難所（法指定）,"洪水,地震,津波,大規模な火事,内水反乱",
藍住東中学校,藍住町住吉字若宮49-1,34.12866216,134.5114038,,,,,,,,,,,088-692-6520,指定緊急避難所（法指定）,"洪水,地震,津波,大規模な火事,内水反乱",
藍住中学校,藍住町奥野字矢上前18-1,34.12514032,134.4975729,,,,,,,,,,,088-692-2505,指定緊急避難所（法指定）,"洪水,地震,津波,大規模な火事,内水反乱",
太郎八須地区一時避難場所,北島町太郎八須字中須7-2地先,34.137591,134.564064,,,,,,,,,,,,指定緊急避難所（法指定）,津波,
中村老門地区津波避難タワー,北島町中村字井利ノ口8-3地先,34.128007,134.565339,,,,,,,,,,,,指定緊急避難所（法指定）,津波,
チューリップハウス横高台,北島町中村字中内45-1,34.128815,134.553996,,,,,,,,,,,,指定緊急避難所（法指定）,津波,
北島南老人憩の家,北島町鯛浜字川久保171,34.113456,134.55232,,,,,,,,,,,088-698-9802,指定緊急避難所（法指定）,洪水,
グリーンタウン防災施設,北島町新喜来字下竿1-16,34.13601,134.542346,,,,,,,,,,,088-698-9807,指定緊急避難所（法指定）,洪水,
北島北公園総合体育館,北島町太郎八須字五反地10-1,34.134646,134.557766,,,,,,,,,,,088-697-3241,指定緊急避難所（法指定）,地震,
北部地区学習等供用施設,北島町北村字壱町四反地18-1,34.137106,134.553294,,,,,,,,,,,088-698-1385,指定緊急避難所（法指定）,地震,
中央地区学習等供用施設,北島町中村字長池28,34.124094,134.550671,,,,,,,,,,,088-698-8801,指定緊急避難所（法指定）,地震,
南部地区学習等供用施設,北島町江尻字宮ノ本41,34.119206,134.543705,,,,,,,,,,,088-698-5930,指定緊急避難所（法指定）,地震,
北島町清掃センター,北島町太郎八須字宮ノ本1-1,34.140788,134.565304,,,,,,,,,,,088-698-4052,指定緊急避難所（法指定）,地震,
北島西児童館,北島町高房字勝瑞境95-10,34.129196,134.53392,,,,,,,,,,,088-698-5918,指定緊急避難所（法指定）,地震,
北島東児童館,北島町中村字本須76-7,34.126517,134.562932,,,,,,,,,,,088-698-6185,指定緊急避難所（法指定）,地震,
北島町武道館,北島町江尻字柳池4-1,34.122516,134.545399,,,,,,,,,,,088-698-6277,指定緊急避難所（法指定）,"洪水,地震",
北島町保健相談センター,北島町新喜来字南古田88-1,34.126701,134.546108,,,,,,,,,,,088-698-8909,指定緊急避難所（法指定）,"洪水,地震",
図書館・創世ホール,北島町新喜来字南古田91,34.126058,134.546249,,,,,,,,,,,088-698-1100,指定緊急避難所（法指定）,"洪水,地震,津波",
サンビレッジ北島,北島町中村字日開野51-5,34.129129,134.553464,,,,,,,,,,,088-683-2388,指定緊急避難所（法指定）,洪水,
サンライフ北島,北島町中村字川田9-1,34.125735,134.545996,,,,,,,,,,,088-698-7361,指定緊急避難所（法指定）,"洪水,地震",
町民体育センター,北島町中村字中内11-1,34.128286,134.555114,,,,,,,,,,,088-698-8386,指定緊急避難所（法指定）,"洪水,地震",
北島町総合庁舎（公民館）,北島町中村字上地23-1,34.125501,134.546834,,,,,,,,,,,088-698-9801,指定緊急避難所（法指定）,"洪水,地震,津波",
北島町立保育所,北島町中村字竹ノ下23-1,34.12831,134.548922,,,,,,,,,,,088-698-3858,指定緊急避難所（法指定）,洪水,
北島中学校校舎,北島町高房字東野神本25-2,34.124305,134.545292,,,,,,,,,,,088-698-2580,指定緊急避難所（法指定）,"洪水,津波",
北島中学校体育館,北島町高房字東野神本25-2,34.124479,134.544401,,,,,,,,,,,088-698-2580,指定緊急避難所（法指定）,地震,
北島南小学校校舎,北島町江尻字宮ノ本40-2,34.118796,134.543692,,,,,,,,,,,088-698-2680,指定緊急避難所（法指定）,"洪水,津波",
北島南小学校体育館,北島町江尻字宮ノ本40-2,34.118917,134.543231,,,,,,,,,,,088-698-2680,指定緊急避難所（法指定）,地震,
北島北小学校校舎,北島町北村字壱町四反地20-1,34.13666,134.55285,,,,,,,,,,,088-698-2010,指定緊急避難所（法指定）,"洪水,津波",
北島北小学校体育館,北島町北村字壱町四反地20-1,34.13639,134.552271,,,,,,,,,,,088-698-2010,指定緊急避難所（法指定）,地震,
北島小学校　校舎,北島町中村字長池17-3,34.125156,134.549248,,,,,,,,,,,088-698-2250,指定緊急避難所（法指定）,"洪水,津波",
北島小学校体育館,北島町中村字長池17-3,34.125043,134.549986,,,,,,,,,,,088-698-2250,指定緊急避難所（法指定）,地震,
(株)ハレルヤ本社工場,松茂町広島字北川向四ノ越30,34.140536,134.580537,,,,,,,,,,,088-699-7611,指定緊急避難所（法指定）,洪水,
ＪＡ大津・松茂長岸梨選果場,松茂町長岸87,34.145662,134.569426,,,,,,,,,,,-,指定緊急避難所（法指定）,洪水,
長岸津波避難場所,松茂町長岸727-27,34.14901098,134.5632846,,,,,,,,,,,-,指定緊急避難所（法指定）,津波,
松茂パーキングエリア,松茂町長岸,34.14377789,134.5651059,,,,,,,,,,,-,指定緊急避難所（法指定）,津波,
エスチュアリー64,松茂町笹木野字八上63,34.13129,134.58055,,,,,,,,,,,-,指定緊急避難所（法指定）,津波,
エグゼ松茂,松茂町中喜来字福有開拓193-10,34.142211,134.601118,,,,,,,,,,,-,指定緊急避難所（法指定）,津波,
エス・プワール,松茂町住吉字住吉開拓91-1,34.130042,134.59071,,,,,,,,,,,-,指定緊急避難所（法指定）,津波,
コーポラスコクフ,松茂町住吉字住吉開拓478,34.131487,134.588694,,,,,,,,,,,-,指定緊急避難所（法指定）,津波,
パールメゾン松茂,松茂町中喜来字稲本211-1,34.145744,134.593776,,,,,,,,,,,-,指定緊急避難所（法指定）,津波,
フクポンファミリーマンション,松茂町満穂字満穂開拓61-1,34.139698,134.600447,,,,,,,,,,,-,指定緊急避難所（法指定）,津波,
ロジェ・空港通り,松茂町満穂字満穂開拓15-1,34.141033,134.598551,,,,,,,,,,,-,指定緊急避難所（法指定）,津波,
ビジネスホテルホテルポケット,松茂町笹木野字八北開拓207-1,34.139162,134.59078,,,,,,,,,,,088-699-2222,指定緊急避難所（法指定）,津波,
ホテルソラエ,松茂町広島字宮ノ前26-1,34.133525,134.573319,,,,,,,,,,,088-699-7137,指定緊急避難所（法指定）,津波,
ほのぼのホスピタル,松茂町中喜来字群恵216－1,34.14189,134.586729,,,,,,,,,,,088-699-5151,指定緊急避難所（法指定）,津波,
徳島阿波おどり空港,松茂町豊久朝日野16-2,34.134657,134.618368,,,,,,,,,,,088-699-2831,指定緊急避難所（法指定）,津波,
自衛隊住吉宿舎,松茂町住吉字住吉開拓110-1,34.128658,134.59684,,,,,,,,,,,088-699-5111,指定緊急避難所（法指定）,津波,
自衛隊笹木野宿舎,松茂町笹木野字八山開拓123,34.127807,134.589845,,,,,,,,,,,088-699-5111,指定緊急避難所（法指定）,津波,
自衛隊八山宿舎,松茂町笹木野字八山開拓205,34.127602,134.591323,,,,,,,,,,,088-699-5111,指定緊急避難所（法指定）,津波,
自衛隊松茂宿舎,松茂町笹木野字八山開拓194,34.128355,134.59052,,,,,,,,,,,088-699-5111,指定緊急避難所（法指定）,津波,
職員公舎笹木野,松茂町笹木野字八山開拓6-1,34.12546,134.592898,,,,,,,,,,,088-622-3101,指定緊急避難所（法指定）,津波,
徳島県運転免許センター,松茂町満穂字満穂開拓1-1,34.138506,134.594406,,,,,,,,,,,088-699-0110,指定緊急避難所（法指定）,"洪水,津波",
県営住宅松茂東団地,松茂町満穂字満穂開拓55,34.138264,134.598983,,,,,,,,,,,088-621-2590,指定緊急避難所（法指定）,津波,
県営住宅松茂団地,松茂町満穂字満穂開拓20,34.138817,134.597067,,,,,,,,,,,088-621-2590,指定緊急避難所（法指定）,津波,
県営住宅松茂西団地,松茂町中喜来字蔵野1,34.145355,134.581976,,,,,,,,,,,088-621-2590,指定緊急避難所（法指定）,津波,
町営笹木野団地,松茂町笹木野字八山開拓143・147-2,34.128225,134.588376,,,,,,,,,,,088-699-2111,指定緊急避難所（法指定）,津波,
町営福有団地,松茂町笹木野字八北開拓1-159,34.14314,134.594036,,,,,,,,,,,088-699-2111,指定緊急避難所（法指定）,津波,
町営中喜来団地,松茂町中喜来字前原西五番越1,34.140866,134.577079,,,,,,,,,,,088-699-2111,指定緊急避難所（法指定）,津波,
グラン・ドムール松茂,松茂町中喜来字群恵番外46-1,34.139508,134.58897,,,,,,,,,,,-,指定緊急避難所（法指定）,津波,
冨士ファニチア株式会社ショールーム,松茂町笹木野字八北開拓412,34.139844,134.5961,,,,,,,,,,,088-699-5004,指定緊急避難所（法指定）,"洪水,津波",
なごみ,松茂町笹木野字八北開拓329-1,34.140902,134.594838,,,,,,,,,,,088-699-2098,指定緊急避難所（法指定）,"洪水,津波",
吉野川育成園,松茂町笹木野字八北開拓236-1,34.141923,134.594563,,,,,,,,,,,088-699-2055,指定緊急避難所（法指定）,"洪水,津波",
町営長原団地,松茂町長原467,34.114608,134.601614,,,,,,,,,,,088-699-2111,指定緊急避難所（法指定）,津波,
三洋電機株式会社松茂寮,松茂町笹木野字山下30,34.12642,134.595619,,,,,,,,,,,088-699-9081,指定緊急避難所（法指定）,津波,
特別養護老人ホーム和光園,松茂町笹木野字山東49-1,34.124382,134.59522,,,,,,,,,,,088-699-2745,指定緊急避難所（法指定）,"洪水,津波",
海上自衛隊,松茂町住吉字住吉開拓38,34.133192,134.597583,,,,,,,,,,,088-699-5111,指定緊急避難所（法指定）,津波,
春叢園,松茂町広島字鍬ノ先23-1,34.13765,134.584481,,,,,,,,,,,088-699-5310,指定緊急避難所（法指定）,"洪水,津波",
板野東部消防組合,北島町北村字大開11-1,34.134174,134.563108,,,,,,,,,,,088-698-0119,指定緊急避難所（法指定）,"洪水,津波",
松茂町津波防災センター,松茂町豊岡字芦田鶴105-9,34.117127,134.598995,,,,,,,,,,,088-699-2111,指定緊急避難所（法指定）,"洪水,津波",
松茂町第二体育館,松茂町中喜来字群恵225-4,34.142716,134.588896,,,,,,,,,,,088-699-8719,指定緊急避難所（法指定）,洪水,
松茂町総合体育館,松茂町中喜来字群恵225-3,34.142121,134.588399,,,,,,,,,,,088-699-8719,指定緊急避難所（法指定）,"洪水,津波",
長原小学校,松茂町長原530,34.117467,134.60275,,,,,,,,,,,088-699-2750,指定緊急避難所（法指定）,洪水,
松茂中学校,松茂町笹木野字八山開拓186,34.12946,134.589989,,,,,,,,,,,088-699-2455,指定緊急避難所（法指定）,"洪水,津波",
松茂小学校,松茂町住吉字住吉開拓187,34.131722,134.590057,,,,,,,,,,,088-699-2250,指定緊急避難所（法指定）,"洪水,津波",
松茂町保健相談センター,松茂町広島字三番越2-2,34.136313,134.580932,,,,,,,,,,,088-683-4533,指定緊急避難所（法指定）,"洪水,津波",
松茂町地域子育て支援センター,松茂町広島字三番越2-4,34.135971,134.58083,,,,,,,,,,,088-699-3116,指定緊急避難所（法指定）,"洪水,津波",
松茂町老人福祉センター,松茂町広島字三番越2-2,34.13637072,134.5812485,,,,,,,,,,,088-699-5352,指定緊急避難所（法指定）,"洪水,津波",
松茂町総合会館,松茂町広島字東裏30,34.133889,134.580116,,,,,,,,,,,088-699-8719,指定緊急避難所（法指定）,"洪水,津波",
喜来小学校,松茂町中喜来字前原西一番越14,34.142303,134.574178,,,,,,,,,,,088-699-2724,指定緊急避難所（法指定）,"洪水,津波",
まぜのおか体育館,浅川字西福良43,33.622197,134.36971,,,,,,,,,,,0884-74-3111,指定緊急避難所（法指定）,"洪水,高潮,崖崩れ等,津波,大規模な火事,内水反乱",
竹ヶ島高台（民宿竹ヶ島裏山）,宍喰浦字竹ヶ島２８－３,33.54686356,134.3177292,,,,,,,,,,,,指定緊急避難所（法定外）,"地震,津波",
竹ヶ島高台（川野宅上高台から遊歩道）,宍喰浦字竹ヶ島３２－１,33.54432437,134.31976,,,,,,,,,,,,指定緊急避難所（法定外）,"地震,津波",
竹ヶ島神社,宍喰浦字竹ヶ島３４,33.544451,134.31823,,,,,,,,,,,,指定緊急避難所（法定外）,"地震,津波",
県道沿高台（金目高台）,宍喰浦字金目５１－３,33.55001786,134.3119178,,,,,,,,,,,,指定緊急避難所（法定外）,"地震,津波",
県道沿高台（金目地区裏山）,宍喰浦字金目９－９,33.55205875,134.3103303,,,,,,,,,,,,指定緊急避難所（法定外）,"地震,津波",
県道沿高台（旧水床旅館前から高台）,宍喰浦字古目８４－２２,33.55713031,134.3121031,,,,,,,,,,,,指定緊急避難所（法定外）,"地震,津波",
